File_Name,Avg_Entropy,Avg_Wordsize,Avg_Length,Avg_Num_Equals,Avg_Num_Dashes,Avg_Num_Slashes,Avg_Num_Pluses,Avg_Sum_RepChars,No_of_Strings
AnserverBot12.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot120.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot121.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot122.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot123.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot124.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot125.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot126.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot127.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot128.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot129.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot13.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot130.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot131.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot132.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot133.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot134.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot135.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot136.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot137.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot138.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot139.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot14.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot140.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot141.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot142.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot143.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot144.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot145.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot146.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot147.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot148.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot149.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot15.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot150.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot151.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot152.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot153.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot154.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot155.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot156.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot157.apk,0.3485,67.8066,30.8066,0.0246,0.1543,0.0968,0.0079,24.2783,15456
AnserverBot158.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot159.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot16.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot160.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot161.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot162.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot163.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot164.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot165.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot166.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot167.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot168.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot169.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot17.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot170.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot171.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot172.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot173.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot174.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot175.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot176.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot177.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot178.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot179.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot18.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot180.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot181.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot182.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot183.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot184.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot185.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot186.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot187.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot19.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot2.apk,0.3984,52.3158,15.3158,0.0,0.0,0.0,0.0,5.6842,56
AnserverBot20.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot21.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot22.apk,0.1884,42.25,5.25,0.0,0.0,0.0,0.0,2.75,3
AnserverBot23.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot24.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot25.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot26.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot27.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot28.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot29.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot3.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot30.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot31.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot32.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot33.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot34.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot35.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot36.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot37.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot38.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot39.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot4.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot40.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot41.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot42.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot43.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot44.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot45.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot46.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot47.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot48.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot49.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot5.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot50.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot51.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot52.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot53.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot54.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot55.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot56.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot57.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot58.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot59.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot6.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot60.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot61.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot62.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot63.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot64.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot65.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot66.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot67.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot68.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot69.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot7.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot70.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot71.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot72.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot73.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot74.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot75.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot76.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot77.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot78.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot79.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot8.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot81.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot82.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot83.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot84.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot85.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot86.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot87.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot88.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot89.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot9.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot90.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot91.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot92.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot93.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot94.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot95.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot96.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot97.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot98.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AnserverBot99.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Asroot2.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Asroot3.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Asroot4.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Asroot6.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Asroot7.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Asroot8.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge1.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge10.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge100.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge101.apk,0.4441,79.2,42.2,0.0,0.0,0.0,0.0,31.2667,29
BaseBridge102.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge103.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge104.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge105.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge106.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge107.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge109.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge11.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge110.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge111.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge112.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge113.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge114.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge115.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge116.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge117.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge118.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge119.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge12.apk,0.2656,49.0,12.0,0.2,0.6,0.4,0.0,7.0,4
BaseBridge120.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge121.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge122.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge13.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge14.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge15.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge16.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge17.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge18.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge19.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge2.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge20.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge21.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge22.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge23.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge25.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge26.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge27.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge28.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge29.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge3.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge30.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge31.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge32.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge33.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge34.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge35.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge36.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge38.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge39.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge4.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge40.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge41.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge42.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge43.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge44.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge45.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge47.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge48.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge49.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge5.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge50.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge51.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge52.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge53.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge54.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge55.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge56.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge57.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge58.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge59.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge6.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge60.apk,0.2656,49.0,12.0,0.2,0.6,0.4,0.0,7.0,4
BaseBridge61.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge62.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge63.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge64.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge65.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge66.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge67.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge68.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge69.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge7.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge70.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge71.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge72.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge73.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge74.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge75.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BaseBridge76.apk,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
