Family,Variety,File_Name,Avg_Entropy,Avg_Wordsize,Avg_Length,Avg_Num_Equals,Avg_Num_Dashes,Avg_Num_Slashes,Avg_Num_Pluses,Avg_Sum_RepChars,class
Airpush,variety1,008e8996b5b3bc61d7e4681eb3042d43,0.3858,57.1991,20.1991,0.1563,0.0353,0.1049,0.0,13.0589,0
Airpush,variety1,009102c57f56b791d599a377f098b19e,0.3829,56.9652,19.9652,0.0778,0.0845,0.2306,0.0122,12.767,0
Airpush,variety1,009b54b8793c99ec384f1eb46e3897b0,0.3901,60.9692,23.9692,0.0805,0.0401,0.0867,0.0271,16.7913,0
Airpush,variety1,009c1ddc28c594c88828a96e12dee6d0,0.3671,63.8893,26.8893,0.051,0.1062,0.2021,0.0612,20.0937,0
Airpush,variety1,00a3d180f87df3bf8bdfcdb9b1b4118b,0.3836,64.8192,27.8192,0.1244,0.0444,0.1555,0.0535,20.8031,0
Airpush,variety1,00a3f88563a87c0db7599c3448d30db8,0.3986,60.2024,23.2024,0.0515,0.0324,0.0568,0.0193,15.9601,0
Airpush,variety1,00a6292842394ac785d0cc4f644f7bb3,0.3442,53.3189,16.3189,0.1023,0.0409,0.1817,0.0012,10.0987,0
Airpush,variety1,00ab0274c3a24bb2a2ad2707f6f12215,0.3895,58.3974,21.3974,0.053,0.0437,0.0561,0.0191,14.2506,0
Airpush,variety1,00b3b6028cc5021c497453507086c99b,0.3931,59.7511,22.7511,0.0366,0.0302,0.0604,0.0229,15.6442,0
Airpush,variety1,00baf308a41e8d0759837150931b447f,0.3661,53.3344,16.3344,0.0828,0.0199,0.1424,0.0,9.4106,0
Airpush,variety1,00bafeeb56b7d85f5eea3e3a774e415b,0.3845,56.9901,19.9901,0.0687,0.0941,0.123,0.0091,12.934,0
Airpush,variety1,00ce794e493ff5dd53bf53311ec99d0b,0.3599,54.4984,17.4984,0.0565,0.0323,0.1613,0.0048,10.8565,0
Airpush,variety1,00de1f82c3e0ecc711f68bd9c32efe4d,0.3668,53.3729,16.3729,0.0825,0.0198,0.1419,0.0,9.4092,0
Airpush,variety1,00e8d2353876f346e3dafaf3bd631513,0.394,60.0473,23.0473,0.037,0.0287,0.0629,0.023,15.9277,0
Airpush,variety1,00eeccd7fab472022060305819493225,0.3999,60.746,23.746,0.1145,0.0387,0.0703,0.0218,16.3572,0
Airpush,variety1,00f532b3372c129944c98aa9dcc9aead,0.3986,60.6153,23.6153,0.0768,0.0479,0.0734,0.0226,16.3074,0
Airpush,variety1,010d31128afdc81573a9a4d2f7ec73b5,0.3663,53.2947,16.2947,0.0828,0.0199,0.1424,0.0,9.3543,0
Airpush,variety1,01125a97e3ebe01e9467178585237b50,0.3267,53.0763,16.0763,0.0923,0.0652,0.1279,0.0025,10.1058,0
Airpush,variety1,0119afad2a548ec524bc0778441b7be8,0.3472,51.6873,14.6873,0.043,0.0217,0.109,0.0095,8.5249,0
Airpush,variety1,011abcbe18dffa33544defff8a0550a6,0.3745,57.8831,20.8831,0.0555,0.1269,0.1724,0.003,13.9366,0
Airpush,variety1,0120002d0c38e9ff6226af81d3d11037,0.3945,59.6894,22.6894,0.0517,0.0396,0.0742,0.0194,15.4354,0
Airpush,variety1,01296d3545e17ebe4dd5a7fe9e79bdd9,0.3901,60.9692,23.9692,0.0805,0.0401,0.0867,0.0271,16.7913,0
Airpush,variety1,01322707851f794a3f88f81888a68ee8,0.3875,71.0378,34.0378,0.107,0.0595,0.2025,0.099,26.7603,0
Airpush,variety1,013b12022907757e23681922b5872f6a,0.3989,60.5443,23.5443,0.0815,0.0633,0.0766,0.0228,16.2733,0
Airpush,variety1,0144b4b6b79a95092c49edc7ed1e541a,0.4013,61.6354,24.6354,0.0657,0.0375,0.0686,0.0273,17.3225,0
Airpush,variety1,015c9b8b5e4a95c385efc4e8a408e2a8,0.3998,63.4757,26.4757,0.0527,0.0297,0.0519,0.0199,19.1214,0
Airpush,variety1,015ec885f47606ecc0d62123c3363f78,0.3537,51.3502,14.3502,0.1111,0.0168,0.0976,0.0,7.8013,0
Airpush,variety1,016077edef65bedac9c01a950bb15cc4,0.3905,61.3505,24.3505,0.0805,0.0464,0.0998,0.0355,17.2843,0
Airpush,variety1,01634600dde2d3a7b78b795b44e510d3,0.3848,68.8116,31.8116,0.1078,0.0575,0.1736,0.0705,24.7079,0
Airpush,variety1,0166ae997da1a6a97c68186e2e6596b4,0.3538,51.3535,14.3535,0.1111,0.0168,0.0976,0.0,7.8047,0
Airpush,variety1,01676bd7c9095aa4a3207d63460aa08a,0.389,58.5991,21.5991,0.0755,0.0332,0.07,0.0192,14.498,0
Airpush,variety1,0168059d44511521e27bc0beb641e971,0.3884,61.4819,24.4819,0.0898,0.0679,0.1076,0.0266,17.3176,0
Airpush,variety1,01734f49542482ebcb607c707cad8700,0.398,66.6941,29.6941,0.0384,0.08,0.1075,0.0443,22.2709,0
Airpush,variety1,0178ab2a2e78713251368b3c2f12c303,0.3829,65.0796,28.0796,0.0787,0.0663,0.1566,0.0573,20.9927,0
Airpush,variety1,0191a88a27ca731cfad1263d6b99789e,0.3826,57.4353,20.4353,0.053,0.0217,0.0521,0.0035,13.4057,0
Airpush,variety1,0192ed9f5a46fd7b8d87524cd081520d,0.3756,57.193,20.193,0.2128,0.0365,0.1565,0.0,13.196,0
Airpush,variety1,01acecebcb9ec830598622879622e5bf,0.3688,56.3641,19.3641,0.0616,0.0602,0.1888,0.0013,12.6198,0
Airpush,variety1,01b0f2d9010d8216f77fe1827ef73241,0.3953,63.442,26.442,0.0771,0.0486,0.0816,0.0639,18.9257,0
Airpush,variety1,01bc51dcd564fccbd021b5cfb6fd041d,0.3998,63.0963,26.0963,0.0588,0.0357,0.0833,0.0444,18.7284,0
Airpush,variety1,01bd7456d3bed48f9a24154f8de57995,0.3972,59.9357,22.9357,0.0516,0.0328,0.0551,0.0197,15.7355,0
Airpush,variety1,01c5a264adcc6868b0af5f62c3b0cd82,0.3959,60.1449,23.1449,0.0355,0.0306,0.0624,0.0217,15.9845,0
Airpush,variety1,01c90f90082d631e23e359e1cc44dc61,0.3901,60.9692,23.9692,0.0805,0.0401,0.0867,0.0271,16.7913,0
Airpush,variety1,01ce2d803ae90aab2cd134ddcbcfcd08,0.3818,57.9403,20.9403,0.1252,0.0741,0.1361,0.0121,13.9684,0
Airpush,variety1,01d3146769639884ed4245abb78c2f1b,0.3995,60.1827,23.1827,0.0791,0.033,0.0523,0.0182,15.9153,0
Airpush,variety1,01d424257c92c92ea8bb2da49b275461,0.3994,63.5551,26.5551,0.0711,0.0366,0.1063,0.0476,19.2559,0
Airpush,variety1,01d97f239709880b23b92fc8e35f89d1,0.3683,64.8533,27.8533,0.0719,0.1126,0.3072,0.1467,21.1532,0
Airpush,variety1,01e3624a42abbedda1a1ef23341ef36a,0.3716,57.7536,20.7536,0.0502,0.0535,0.1895,0.0011,13.8863,0
Airpush,variety1,01e594c6491ae93db62644004a44e5e2,0.3807,75.7976,38.7976,0.0588,0.0657,0.2811,0.1451,31.6188,0
Airpush,variety1,01f1fcab81987d198a920658a78b5e5b,0.3976,62.9624,25.9624,0.0456,0.0369,0.0872,0.0311,18.7095,0
Airpush,variety1,01f36928ead272584dc91cec7e94d01c,0.3659,53.3377,16.3377,0.0828,0.0199,0.1424,0.0,9.4238,0
Airpush,variety1,01f5eb88cdf388b96220f3f58f94e9d5,0.3972,59.4616,22.4616,0.0884,0.0339,0.0554,0.0178,15.1911,0
Airpush,variety1,01f65b3fe6c05e5f4b4707500001b290,0.3441,53.3189,16.3189,0.1023,0.0409,0.1817,0.0012,10.0999,0
Airpush,variety1,01f7255eda25b2595572a9b91d987df2,0.3901,60.9692,23.9692,0.0805,0.0401,0.0867,0.0271,16.7913,0
Airpush,variety1,021d80e8f452f91fea4bbe740f67acd3,0.346,54.2913,17.2913,0.1006,0.0292,0.082,0.0031,11.0174,0
Airpush,variety1,021f5e690488ecef7965b4ad0e837cfe,0.3584,55.9199,18.9199,0.0938,0.0349,0.1345,0.0108,12.4197,0
Airpush,variety1,02285f49803f20b5ab3236ad808069bb,0.3534,51.3468,14.3468,0.1111,0.0168,0.0976,0.0,7.8047,0
Airpush,variety1,0231503285ca3872a1bb2299b325ea6d,0.3714,63.8878,26.8878,0.0988,0.0482,0.1694,0.0557,20.1188,0
Airpush,variety1,0247bdcd105bb0720d874c28629f7634,0.3901,60.9692,23.9692,0.0805,0.0401,0.0867,0.0271,16.7913,0
Airpush,variety1,024c6ad3ba8cf805b44a6462c26074b1,0.3837,67.5156,30.5156,0.1085,0.0536,0.2044,0.0792,23.3629,0
Airpush,variety1,0250f4b2e42283a2333e3c825d2b2df8,0.3785,55.2258,18.2258,0.0637,0.0788,0.123,0.005,11.2884,0
Airpush,variety1,026316ab0584eca506ad6738a1e11e31,0.4007,61.7134,24.7134,0.0798,0.0369,0.0982,0.0157,17.3449,0
Airpush,variety1,02632df6ae59acf154ac647ba2b75de1,0.4009,61.9332,24.9332,0.0704,0.0385,0.0737,0.0255,17.6443,0
Airpush,variety1,026839c409697ed177d38a8f79091ae4,0.3777,73.7361,36.7361,0.0565,0.0675,0.2336,0.0978,29.7707,0
Airpush,variety1,0268bc8d67592f799214a894f00d128f,0.3872,58.2392,21.2392,0.0436,0.0388,0.0627,0.0232,14.1272,0
Airpush,variety1,026f80c6ec3c204375eef157877a70f0,0.3853,68.1597,31.1597,0.1052,0.0537,0.218,0.082,23.9987,0
Airpush,variety1,0273e4b8defdd9c2be35db6ba5fcf046,0.3749,59.2047,22.2047,0.1006,0.0419,0.1026,0.0307,15.3205,0
Airpush,variety1,027459499d1741c2019f22553882d02f,0.4002,60.7419,23.7419,0.1137,0.0403,0.0662,0.0217,16.3425,0
Airpush,variety1,02749a145ebb58fece189cd0f13a3414,0.3998,60.6663,23.6663,0.1151,0.0407,0.0693,0.0219,16.2731,0
Airpush,variety1,0276d3fc0a94f116ef53c2d88d5f55e5,0.3442,53.3189,16.3189,0.1023,0.0409,0.1817,0.0012,10.0987,0
Airpush,variety1,0284b9edc5531287402e8b6718e73994,0.3899,59.3357,22.3357,0.0502,0.0404,0.0662,0.0221,15.2964,0
Airpush,variety1,02853fc35bc98cca240a72a961255ea3,0.3958,60.5839,23.5839,0.0885,0.0346,0.079,0.0249,16.413,0
Airpush,variety1,028dcf6891c252589a43407bb51c09a2,0.3744,56.5756,19.5756,0.0721,0.1201,0.1423,0.0062,12.6913,0
Airpush,variety1,02b6b5ff5e7944a89b91407c090df480,0.3887,65.8106,28.8106,0.1093,0.0589,0.1708,0.0757,21.5295,0
Airpush,variety1,02cc76cec307a91f14b3311784972cad,0.3952,68.6778,31.6778,0.0536,0.0495,0.1937,0.0727,24.1664,0
Airpush,variety1,02cf0e6bfa5cb412aab93f3774db126a,0.3969,59.7463,22.7463,0.0508,0.036,0.0684,0.0189,15.5476,0
Airpush,variety1,02d607640ef2940a59d4b5c481d84cee,0.3839,58.1105,21.1105,0.0875,0.0401,0.1037,0.004,14.0134,0
Airpush,variety1,02dc8b5811a0f66bec1e8fbb4055cb11,0.3538,51.3603,14.3603,0.1111,0.0168,0.0976,0.0,7.8081,0
Airpush,variety1,02ee331eb1bb8d410476d09d78437e55,0.3985,60.9173,23.9173,0.0645,0.0401,0.1172,0.023,16.6296,0
Airpush,variety1,02f91e696af72da4708b2726e5df729e,0.4033,61.2655,24.2655,0.0544,0.0477,0.1428,0.0177,16.9167,0
Airpush,variety1,030ef3f1375b108cfd6207875a6471d8,0.3756,64.1247,27.1247,0.0511,0.1286,0.1508,0.1084,20.0156,0
Airpush,variety1,0319ee32cf9f2979859e5d8bddb067c0,0.3837,67.5156,30.5156,0.1085,0.0536,0.2044,0.0792,23.3629,0
Airpush,variety1,032f47ac0bcdf1e2ff32ddcb24a089f1,0.3988,59.6161,22.6161,0.0792,0.0534,0.0655,0.0175,15.2611,0
Airpush,variety1,03367f213ffde645d99c7330be105b4c,0.3937,60.0518,23.0518,0.0369,0.0351,0.0869,0.0226,15.9414,0
Airpush,variety1,0346224a59068bbbe9f5dc42a8516b1a,0.3594,61.742,24.742,0.0763,0.0734,0.1313,0.0467,18.2321,0
Airpush,variety1,03492eb2e8a06e53c3352d5ce28ff157,0.3898,71.028,34.028,0.1087,0.0637,0.2025,0.095,26.7179,0
Airpush,variety1,0355b6f1ea6d30e8bbb0e1f6f9309aff,0.3917,62.3738,25.3738,0.0877,0.0281,0.1167,0.0446,18.4605,0
Airpush,variety1,0355fe5db32237952a0bed69a6e908c2,0.3769,55.5071,18.5071,0.0425,0.0854,0.1085,0.009,11.5475,0
Airpush,variety1,035b6f60c7568fdf45043bb8d4796a8e,0.3856,58.6742,21.6742,0.1134,0.0344,0.1354,0.0137,14.6337,0
Airpush,variety1,035cebc0748e7eb7c554b69b8a903c28,0.3532,51.3502,14.3502,0.1111,0.0168,0.0976,0.0,7.8081,0
Airpush,variety1,035d1b7549bb7b7c43ce1e2e99b02e33,0.3782,73.2005,36.2005,0.0554,0.0652,0.2372,0.097,29.2282,0
Airpush,variety1,035e652e65012ead6397c464530ad778,0.3807,60.3281,23.3281,0.1288,0.0333,0.1483,0.0132,16.3602,0
Airpush,variety1,036780305177021def9ebc790c52e551,0.3989,60.144,23.144,0.0778,0.0539,0.0599,0.0205,15.8764,0
Airpush,variety1,03698218aed9f599e41b21f96d4f56b1,0.4024,67.3165,30.3165,0.0669,0.0385,0.1938,0.1012,22.9837,0
Airpush,variety1,036a5cef2da221a927cd9d218c82ed94,0.4025,67.2614,30.2614,0.0666,0.0383,0.1929,0.1007,22.9204,0
Airpush,variety1,036ae0aad4b450b11fca42650ec419f4,0.378,69.4119,32.4119,0.0706,0.0543,0.244,0.0958,25.3926,0
Airpush,variety1,036b6b0751f5a62e4afe01f6416dc5ca,0.3659,53.3344,16.3344,0.0828,0.0199,0.1424,0.0,9.4205,0
Airpush,variety1,038c3ca4c3df3dfa2859cccbb61c4ea2,0.3984,60.2506,23.2506,0.0511,0.0327,0.0579,0.0191,16.0197,0
Airpush,variety1,0391c1021513c3259aa9bedd25b4a71a,0.3535,51.3468,14.3468,0.1111,0.0168,0.0976,0.0,7.7845,0
Airpush,variety1,039c0c620e4e1aa34cd5d5bfc5b15d6a,0.3687,57.2988,20.2988,0.0805,0.0343,0.1952,0.0167,13.5689,0
Airpush,variety1,039feb6344ab0b9078ac7953a1a12ba7,0.4006,60.0525,23.0525,0.0817,0.0347,0.0499,0.0181,15.7499,0
Airpush,variety1,03a61dbdb65a40d8de2f04fc5e8d9237,0.3984,60.2506,23.2506,0.0511,0.0327,0.0579,0.0191,16.0197,0
Airpush,variety1,03ac3277e9a4a5d7bb30657828e4f56c,0.3636,52.9338,15.9338,0.0871,0.0209,0.115,0.0,9.0244,0
Airpush,variety1,03aed4b070cf3d75590ae17080b18ce0,0.3913,58.0594,21.0594,0.1361,0.0384,0.1589,0.0018,13.6941,0
Airpush,variety1,03b90bd8481c12b0dd5b2a6ac37f7b57,0.3588,53.9193,16.9193,0.0466,0.0598,0.1001,0.0063,10.2712,0
Airpush,variety1,03d4f9ece5a49cd12a0712fbaedab9b4,0.3993,60.3323,23.3323,0.0602,0.04,0.0679,0.0239,16.0289,0
Airpush,variety1,03d7a25c9f0bcb3045401efb32f5aae1,0.3793,57.8133,20.8133,0.1078,0.0417,0.146,0.0112,13.8093,0
Airpush,variety1,03da928eb11e7f32525e77ec51ef43c4,0.4014,60.3613,23.3613,0.0622,0.0353,0.0504,0.0167,16.098,0
Airpush,variety1,03db4a3d8880f563ce1bee5efe167bb8,0.3857,57.1644,20.1644,0.1558,0.0352,0.1046,0.0,13.0512,0
Airpush,variety1,0404db0f1cf5e97733ab33f07dc09956,0.3994,60.5959,23.5959,0.1164,0.0377,0.0701,0.0224,16.2168,0
Airpush,variety1,0405146f3c575968aba6d8771331762d,0.379,75.3695,38.3695,0.0561,0.0683,0.2716,0.1313,31.2314,0
Airpush,variety1,0410d5c5b767dd737217e349edbdda5e,0.3941,65.0393,28.0393,0.0451,0.0791,0.1242,0.0378,20.7102,0
Airpush,variety1,04150a44ca6e586ab30f1d40dd40c4c9,0.3798,77.1639,40.1639,0.0587,0.0742,0.2563,0.1493,32.8982,0
Airpush,variety1,04481a58e0e2985df83a4e08b95301aa,0.3883,58.2613,21.2613,0.0885,0.0347,0.1071,0.0103,14.1552,0
Airpush,variety1,044920b9a32f07d0f48d631e87795106,0.3814,55.3829,18.3829,0.0825,0.0767,0.1239,0.0046,11.4099,0
Airpush,variety1,04511f30076f75ff09675b3a50aaedd9,0.3982,60.1826,23.1826,0.0516,0.0328,0.0583,0.0192,15.9565,0
Airpush,variety1,0455608186257bab57d8ee07358fe461,0.3847,57.2596,20.2596,0.1562,0.0363,0.1276,0.0,13.1309,0
Airpush,variety1,0456719a934f8438166b87b3e4ef0315,0.399,67.7345,30.7345,0.0682,0.061,0.1679,0.1083,23.3974,0
Airpush,variety1,0462268b81c5d8fd1b11df3c6e4396bd,0.4002,60.7509,23.7509,0.1139,0.0403,0.0669,0.0216,16.3478,0
Airpush,variety1,046d8541aed076cda5f8f3777b5ac1a8,0.3632,54.0742,17.0742,0.0972,0.0265,0.1131,0.0,10.2261,0
Airpush,variety1,04758c514038155a5d7fe801ccc2b55e,0.3989,60.144,23.144,0.0778,0.0539,0.0599,0.0205,15.8762,0
Airpush,variety1,047b44e0f21f2a7d4e21ae0967c391d0,0.3668,53.363,16.363,0.0825,0.0198,0.1419,0.0,9.4026,0
Airpush,variety1,048c0758bddb552a72e2b547e6666ebc,0.4008,61.6827,24.6827,0.0686,0.0385,0.0701,0.0256,17.3495,0
Airpush,variety1,049b85a1339f288fedb068ac66943556,0.3869,57.9539,20.9539,0.1346,0.0496,0.1315,0.0098,13.7254,0
Airpush,variety1,04a2b277a951a696ada805dc051eb3db,0.3975,60.8372,23.8372,0.0999,0.0388,0.0778,0.0246,16.4905,0
Airpush,variety1,04a3f29c19a8df25963658ebc69b22f2,0.3739,56.5309,19.5309,0.0714,0.1199,0.1411,0.0062,12.664,0
Airpush,variety1,04ab7794c6ff425920c9a0cec428a16d,0.3774,81.1008,44.1008,0.059,0.1661,0.1668,0.0761,37.2441,0
Airpush,variety1,04b471512874ef51c3a312ce8aad8360,0.387,57.4013,20.4013,0.1566,0.0364,0.108,0.0,13.247,0
Airpush,variety1,04c1fa5173b2b2d9d0c1b568a370feec,0.3727,55.0341,18.0341,0.1398,0.0282,0.1152,0.0,11.161,0
Airpush,variety1,04d5eeff20079f4b861d6ab526d7e131,0.3638,55.4896,18.4896,0.0625,0.0347,0.2014,0.0,11.8403,0
Airpush,variety1,04f2c064164646887fc2d1e91c827620,0.3441,53.3189,16.3189,0.1023,0.0409,0.1817,0.0012,10.1011,0
Airpush,variety1,0501accdda53f9216a4db58f97980176,0.3901,60.9692,23.9692,0.0805,0.0401,0.0867,0.0271,16.7913,0
Airpush,variety1,05125975f4bc80c2e9dc3eb996ee079e,0.3809,56.7423,19.7423,0.1584,0.0359,0.1109,0.0011,12.735,0
Airpush,variety1,051fcb5eab917bac17f47710d9fa9f55,0.3899,59.1715,22.1715,0.1024,0.0387,0.1185,0.0119,15.0572,0
Airpush,variety1,052ac7d4db2e4c1677af5913bb6ef001,0.4011,60.8634,23.8634,0.1073,0.0393,0.0621,0.0212,16.4788,0
Airpush,variety1,05369d49431bd85e8cb7458d71d20872,0.3986,60.2024,23.2024,0.0515,0.0326,0.0568,0.0193,15.9601,0
Airpush,variety1,053bcb78ae63768085724c9ee79175d3,0.3496,50.8527,13.8527,0.0089,0.0179,0.0893,0.0,7.1964,0
Airpush,variety1,054ab9b5c9c352c05dd98a3cb8f3a2d1,0.3735,75.3419,38.3419,0.0819,0.0299,0.0909,0.0054,31.5643,0
Airpush,variety1,0553959ef32ac5612d53489ea5f150ad,0.3901,60.9692,23.9692,0.0805,0.0401,0.0867,0.0271,16.7913,0
Airpush,variety1,0553a383f1af9edd7549c59690bbde46,0.3761,58.9292,21.9292,0.0507,0.0354,0.1799,0.0191,15.1215,0
Airpush,variety1,055d5b739d6fca86cf0810814ae389b3,0.3754,55.1131,18.1131,0.1131,0.0497,0.1342,0.002,11.1907,0
Airpush,variety1,057016356709dee5c8812e5ebf838d9d,0.3704,56.7505,19.7505,0.0594,0.0396,0.1941,0.0,12.897,0
Airpush,variety1,05835986b946b8d3a6bc720b4eb2a4ed,0.4074,72.8278,35.8278,0.0803,0.0854,0.2112,0.0339,28.3174,0
Airpush,variety1,05838648f6ea65b99707970eed62fbe7,0.3777,57.6019,20.6019,0.0643,0.1081,0.1334,0.0062,13.6135,0
Airpush,variety1,058881ab1a9025436265c4f5ebb07585,0.3856,57.1583,20.1583,0.1541,0.0346,0.1153,0.0,13.043,0
Airpush,variety1,058cbd4e067da85d5311062c9cf9c59d,0.3947,59.6436,22.6436,0.0496,0.0688,0.0699,0.0736,15.3664,0
Airpush,variety1,0595d946e6e1ac4fff1f6f58054a1f7a,0.399,67.7345,30.7345,0.0682,0.061,0.1679,0.1083,23.3971,0
Airpush,variety1,05a01503b86814fe007e60e52fd93ab7,0.3848,68.8116,31.8116,0.1078,0.0575,0.1736,0.0705,24.7079,0
Airpush,variety1,05a3bc48359c0a0d03619a53130cd193,0.3645,55.9396,18.9396,0.044,0.0579,0.1069,0.0101,12.1258,0
Airpush,variety1,05aa22b967218ad8924df886f053fdaa,0.3577,55.2581,18.2581,0.0661,0.0623,0.1085,0.0025,11.702,0
Airpush,variety1,05aacfdeb1198d862ca103f85a439c04,0.3595,52.1481,15.1481,0.0988,0.0173,0.1506,0.0,8.5235,0
Airpush,variety1,05aea4f0ee09ced41ae8f73dd35c055a,0.3806,73.0051,36.0051,0.0571,0.0732,0.2224,0.0849,28.9546,0
Airpush,variety1,05b6fcee6a62b5ea903d681a2b03c064,0.3799,55.7195,18.7195,0.0671,0.0812,0.0819,0.0022,11.6812,0
Airpush,variety1,05b7d3689d180aea6b5104fe36b4c21b,0.3774,58.673,21.673,0.1187,0.0794,0.1686,0.0049,14.9016,0
Airpush,variety1,05b9b2b7288055f834f49021867130b4,0.3812,56.882,19.882,0.0593,0.0956,0.1265,0.0043,12.8009,0
Airpush,variety1,05bc4db4290edd96e9ab7949b081eafe,0.3758,57.9142,20.9142,0.0816,0.0582,0.0922,0.0078,14.0163,0
Airpush,variety1,05bc67f6a621b9ff6f5272634d646c05,0.3984,60.1958,23.1958,0.0516,0.0327,0.0564,0.0193,15.9673,0
Airpush,variety1,05bcf41ce3cf5cd7fee6b5ea5076fd26,0.3868,69.3093,32.3093,0.1098,0.0564,0.174,0.0722,25.1722,0
Airpush,variety1,05c2989eccbc0a52b3cb7ff1c75673c6,0.3697,57.3716,20.3716,0.0597,0.0516,0.0905,0.0027,13.6056,0
Airpush,variety1,05cbaabcb045e6def77dcf3ae17f0b3a,0.3787,66.3423,29.3423,0.067,0.0836,0.2087,0.0693,22.1598,0
Airpush,variety1,05d2af9376bd90f5da55d09a957b3f1a,0.34,50.3443,13.3443,0.0109,0.0219,0.1148,0.0,7.2131,0
Airpush,variety1,05d37746c44e8fe55515dbb4b8674140,0.3901,60.9692,23.9692,0.0805,0.0401,0.0867,0.0271,16.7913,0
Airpush,variety1,05d88b65f94e0f48c7ac1fe696cc02ea,0.3999,66.2554,29.2554,0.0515,0.0299,0.3804,0.0763,22.2233,0
Airpush,variety1,05de25ca440e52bb1bba29009cf2c07a,0.3577,55.2581,18.2581,0.0661,0.0623,0.1085,0.0025,11.702,0
Airpush,variety1,05ee0c17ab7567edf5ec6938ce58144e,0.3862,56.6421,19.6421,0.1018,0.0262,0.0939,0.0,12.561,0
Airpush,variety1,05f1343eddf3f810cb68b3c6720c3ea3,0.3677,57.6269,20.6269,0.0445,0.0534,0.1051,0.0018,13.6821,0
Airpush,variety1,05f5f3ab944dc4ff6a7bf1cce695f8bc,0.3781,74.9505,37.9505,0.0556,0.0698,0.2665,0.1299,30.8206,0
Airpush,variety1,05fa700a0da59dad4dbb021e2a76454a,0.3867,57.114,20.114,0.0396,0.0271,0.0934,0.0,13.0613,0
Airpush,variety1,060377f58cde830f8d16554b0cc16af0,0.3952,60.8375,23.8375,0.0536,0.0305,0.0735,0.0395,16.6566,0
Airpush,variety1,060724effc0474b7ee7b96f42a9bb6bf,0.3698,55.674,18.674,0.0425,0.0477,0.1082,0.0013,11.7281,0
Airpush,variety1,060d69dd653d08bd16a89ec5050c6704,0.3883,68.991,31.991,0.1072,0.0569,0.1959,0.0695,24.7561,0
Airpush,variety1,061f06b0033602b7773ebc94d354ffd4,0.3967,60.0376,23.0376,0.0561,0.0311,0.0622,0.0202,15.8423,0
Airpush,variety1,0628bf2f89f2b8a903f5069a582696d6,0.3415,53.4792,16.4792,0.0157,0.0754,0.0877,0.0045,10.162,0
Airpush,variety1,062d177dd0f500fa5cd7034dee4a2822,0.3868,69.3093,32.3093,0.1098,0.0564,0.174,0.0722,25.1722,0
